tree,zul,ssw
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (UseV descend_V)))) NoVoc,uyehla,uyehla
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 eat_V2 (UsePron (ProDrop he_Pron)))))) NoVoc,uyamudla,uyamudla
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (ComplV2Light see_V2 (UsePron (ProDrop he_Pron))) now_Adv)))) NoVoc,ngiyambona manje,ngiyambona manje
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN woman_N)) (ComplV2 cook_V2 (UsePron (ProDrop it15_Pron)))))) NoVoc,umfazi uyakupheka,umfati uyakupheka
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (ComplV2Light see_V2 (DetCN (DetNum NumSg) (UseN village_N)))))) NoVoc,amadoda ayawubona umuzi,emadvodza ayawubona umuti
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN old_woman_N)) (ComplV2Light cook_V2 (DetCN (DetNum NumSg) (UseN pumpkin_porridge_N)))))) NoVoc,izalukazi ziyasipheka isidudu,talukati tiyasipheka sidvudvu
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,ngibiza umfana,ngibita umfana
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN builder_N)) (ComplV2 build_V2 (DetCN (DetNum NumSg) (UseN kraal_N)))))) NoVoc,umakhi wakha isibaya,umakhi wakha sibaya
PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 call_V2 (UsePron (ProDrop he_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),mbize ntombi,mbite ntfombi
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop they8_Pron))))) (VocNP (DetCN (DetNum NumPl) (UseN boy_N))),zifundeni bafana,tifundzeni bafana
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Light plough_V2 (DetCN (DetNum NumSg) (UseN field_N))))) NoVoc,yilimeni insimu,yilimeni insimu
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplVV do_not_VV (ComplV2Light plough_V2 (DetCN (DetNum NumSg) (UseN field_N)))))) NoVoc,musani ukuyilima insimu,musani kuyilima insimu
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplV2Light plough_V2 (DetCN (DetNum NumSg) (UseN field_N))))) NoVoc,ningayilimi insimu,ningayilimi insimu
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2Refl hit_V2 (DetCN (DetNum NumSg) (UseN finger_N)))))) NoVoc,ngizishaya umunwe,ngitishaya umuno
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseVStative tire_V) now_Adv)))) NoVoc,ngikhathele manje,ngidziniwe manje
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (AdvVP (AdvVPLight (UseV go_2_V) (PositAdvAdj how_much_A)) yonder_Adv) in_the_afternoon_Adv)))) NoVoc,uya kangaki laphaya ntambama,uya kangakhi laphayi ntsambama
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (AdvVP (ComplV2Nonspec wash_V2 (DetCN (DetNum NumPl) (UseN clothing_N))) when_Adv)))) NoVoc,ugeza izingubo nini,uhlanta tembatfo nini
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (AdvVP (UseV gather_firewood_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN forest_N)))))))) NoVoc,izintombi zitheza ehlathini,tintfombi titfota ehlatsini
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN child_N)) (AdvVPLight (UseV sit_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,abantwana bahlala ekhaya,bantfwana bahlala ekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV meet_V) (InstrNPAdv (DetCN (DetNum NumPl) (UseN child_2_N))))))) NoVoc,sihlangana ngezingane,sihlangana ngebantfwana
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,udlala nabantwana,udlala nebantfwana
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV go_V) (NaNPAdv (DetCN (DetNum NumSg) (UseN girl_N))))))) NoVoc,ngihamba nentombi,ngihamba nentfombi
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV run_V) (JustLikeNPAdv (DetCN (DetNum NumSg) (UseN baboon_N))))))) NoVoc,ugijima njengemfene,ugijima njengemfene
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPresTemp PNeg (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikoleni asidlali njengasekhaya,esikolweni asidlali njengasekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN boy_N)) (CopNPEq (DetCN (DetNum NumSg) (UseN his_father_N)))))) NoVoc,umfana unjengoyise,umfana unjengayise
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN elephant_N)) (CopNPEqSize (DetCN (DetNum NumSg) (UseN mountain_N)))))) NoVoc,indlovu ingangentaba,indlovu ingangentsaba
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV return_V)))) NoVoc,sibuyile,sibuyile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,sibabizile abantwana,sibabitile bantfwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2Light take_V2 (DetCN (DetNum NumPl) (UseN goods_N)))))) NoVoc,sizithethe izimpahla,sititsetse timpahla
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseVStative tire_2_V)))) NoVoc,sikhathele,sikhatsele
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN sheep_N)) (UseV run_away_V)))) NoVoc,izimvu zabaleka,timvu tabaleka
PhrUtt NoPConj (UttS (UseClProg TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (UseV milk_V)))) NoVoc,abafana abasasengi,bafana abasasengi
PhrUtt NoPConj (UttS (ExtConjS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN sheep_N)) (UseV survive_V))) however_Conj (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumPl) (ContrastCN (UseN cow_N))) (UseV die_V))))) NoVoc,izimvu zasinda kodwa izinkomo zona zafa,timvu tasindza kodvwa tinkhomo tona tafa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2Nonspec want_V2 (PronPostdetNP it5_Pron (DemPostdet this_Quant)))))) NoVoc,ngifuna lona leli,ngifuna lona leli
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 like_V2 (PronPostdetNP (ProDrop they10_Pron) (DemPostdet that_Quant)))))) NoVoc,sithanda lezo,sitsandza leto
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PredetN (QuantPredet all_QuantStem) box_N)) (AdvVP (UseV fall_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumPl) (UseN water_N)))))))) NoVoc,lonke ibhokisi liwele emanzini,lonkhe libhokisi liwele emantini
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (PostdetCN (UseN food_N) (QuantPostdet all_QuantStem) (DetNum NumSg)) (UseVStative end_V)))) NoVoc,ukudla konke kuphelile,kudla konkhe kuphelile
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 want_V2 (PostdetCN (UseN meat_N) (QuantPostdet only_QuantStem) (DetNum NumSg)))))) NoVoc,ngifuna inyama yodwa,ngifuna inyama yodvwa
PhrUtt NoPConj (UttS (ExistNP (RelNP (PostdetCN (UseN old_woman_N) (QuantPostdet only_QuantStem) (DetNum NumSg)) (UseRCl TPresTemp PPos (RelVP IdRP (AdvVP (UseV sit_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))))) NoVoc,yisalukazi sodwa esihlala ekhaya,salukati sodvwa lesihlala ekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (PossNP (UseN goods_N) (UsePron youPl_Pron))))))) NoVoc,ngibona izimpahla zenu,ngibona timpahla tenu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumPl) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,ngamukele izincwadi zasekhaya,ngamukele tincwadzi tasekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PossNP (UseN dog_N) (DetCN (DetNum NumSg) (UseN village_N)))) (UseV bark_V)))) NoVoc,izinja zomuzi ziyakhonkotha,tinja temuti tiyakhonkhotsa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PossNPLoc (UseN dog_N) (DetCN (DetNum NumSg) (UseN village_N)))) (UseV bark_V)))) NoVoc,izinja zasemzini ziyakhonkotha,tinja tasemtini tiyakhonkhotsa
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumSg) (UseN lion_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,ibhubesi yisilwane,libhubesi silwane
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN boy_N)) (CopNP (DetCN (DetNum NumSg) (UseN student_N)))))) NoVoc,umfana uyisitshudeni,umfana usitshudeni
PhrUtt NoPConj (UttS (ExistNP (UsePron youSg_Pron))) NoVoc,nguwe,nguwe
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN worker_N)) (AdvVP (CopQuant only_QuantStem) today_Adv)))) NoVoc,isisebenzi sisodwa namuhla,sisebenti sisodvwa lamuhla
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,abafana abekho ekhaya,bafana abekho ekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN water_N)) (CopLocative khona_Loc)))) NoVoc,amanzi awekho,emanti awekho
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet this_Quant) man_N)) (CopNPAssoc (DetCN (DetNum NumSg) (UseN wife_N)))))) NoVoc,le ndoda ayinamfazi,lendvodza ayinamfati
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PredetN (DemPredet that_Quant) old_woman_N)) (CopAP (PositA small_A))))) NoVoc,lezo zalukazi zimfuphi,leto talukati timfishane
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN ox_N)) (CopAP (PositA red_R))))) NoVoc,inkabi ibomvu,inkhabi ibovu
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN shirt_N) (UsePron she_Pron))) (CopAP (PositA spotted_R))))) NoVoc,iyembe lakhe limabalabala,liyembe lakhe limabalabala
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (ComplV2 see_V2 (RelNP (DetCN (DetNum NumSg) (UseN clay_pot_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) NoVoc,ubona ukhamba olukhulu,ubona ludziwo lolukhulu
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 like_V2 (RelNP (DetCN (DetNum NumSg) (UseN man_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA honest_R))))))))) NoVoc,sithanda indoda eqotho,sitsandza indvodza lecotfo
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (CopNPAssoc (RelNP (DetCN (DetNum NumPl) (UseN dog_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))))))) NoVoc,sinezinja ezidla inyama,sinetinja letidla inyama
